time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T14:11:13.080Z,35.6356667,-117.4488333,6.95,0.58,ml,17,75,0.03582,0.15,ci,ci39116656,2019-10-07T14:45:09.612Z,"15km SSW of Searles Valley, CA",earthquake,0.33,0.5,0.207,7,reviewed,ci,ci
2019-10-07T14:09:39.388Z,38.3329,-116.5908,8.6,1,ml,15,269.33,0.789,0.3202,nn,nn00706587,2019-10-07T14:52:37.422Z,"24km NW of Warm Springs, Nevada",earthquake,,2.5,0.9,4,reviewed,nn,nn
2019-10-07T14:06:19.090Z,38.8019981,-122.7721634,2.57,0.64,md,8,76,0.01514,0.01,nc,nc73288090,2019-10-07T14:22:03.200Z,"3km NNW of The Geysers, CA",earthquake,0.56,1.72,0.09,2,automatic,nc,nc
2019-10-07T14:04:23.990Z,35.6906667,-117.4778333,4.12,1.02,ml,18,141,0.05093,0.2,ci,ci39116640,2019-10-07T14:08:09.257Z,"11km SW of Searles Valley, CA",earthquake,0.42,0.94,0.18,11,automatic,ci,ci
2019-10-07T14:02:14.133Z,61.7816,-149.6786,31,1.2,ml,,,,0.59,ak,ak019cvatp9g,2019-10-07T14:07:58.283Z,"17km NNW of Meadow Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-07T14:00:40.156Z,63.1352,-149.8073,91,1.5,ml,,,,0.54,ak,ak019cvatbuw,2019-10-07T14:09:39.106Z,"51km WSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-10-07T13:59:18.810Z,35.8643333,-117.6823333,4.68,1.59,ml,26,44,0.08427,0.18,ci,ci39116632,2019-10-07T14:03:15.417Z,"22km ESE of Little Lake, CA",earthquake,0.25,0.56,0.177,26,automatic,ci,ci
2019-10-07T13:58:23.130Z,35.9725,-117.675,2.63,0.9,ml,13,105,0.03165,0.16,ci,ci39116624,2019-10-07T14:02:06.413Z,"21km E of Little Lake, CA",earthquake,0.44,0.28,0.123,10,automatic,ci,ci
2019-10-07T13:53:55.910Z,35.6131667,-117.489,5.67,2.43,ml,36,49,0.01385,0.14,ci,ci39116616,2019-10-07T14:04:46.390Z,"17km E of Ridgecrest, CA",earthquake,0.18,0.39,0.21,25,automatic,ci,ci
2019-10-07T13:48:33.689Z,58.8257,-142.733,0,2.8,ml,,,,0.25,us,us70005rkh,2019-10-07T14:00:05.040Z,"139km S of Cape Yakataga, Alaska",earthquake,5.8,8,,,reviewed,ak,ak
